Td		ID		Tj		Df		Dd		Db
270		2559		266		0		4		4

270		2556		266		0		4		4

271		2314		153		0		118		118

272		2481		232		3		37		40

272		2501		242		3		27		30

272		555		266		0		6		6

272		560		266		0		6		6

273		2211		115		0		158		158

273		538		256		0		17		17

274		2213		115		0		159		159

274		523		248		2		24		26

275		2563		268		0		7		7

275		552		264		0		11		11

275		497		240		2		33		35

276		2215		115		0		161		161

276		2317		154		0		122		122

276		521		248		2		26		28

277		2572		270		0		7		7

277		2560		268		0		9		9

277		511		243		2		32		34

277		498		242		2		33		35

278		524		248		2		28		30

278		506		243		2		33		35

278		564		268		0		10		10

280		2528		250		2		28		30

280		2511		244		3		33		36

280		2538		256		2		22		24

280		535		256		1		23		24

281		2525		250		2		29		31

281		2518		248		2		31		33

281		2568		270		0		11		11

281		530		250		2		29		31

281		577		274		0		7		7

282		2209		107		0		175		175

283		540		260		1		22		23

283		579		274		0		9		9

284		572		270		0		14		14

285		2565		268		1		16		17

285		2263		133		0		152		152

285		2578		274		0		11		11

285		2586		280		0		5		5

285		553		264		2		19		21

286		2574		274		0		12		12

286		2567		270		0		16		16

286		2573		270		0		16		16

286		2575		274		0		12		12

286		2580		274		0		12		12

286		500		242		2		42		44

286		558		266		2		18		20

286		581		274		0		12		12

287		2555		266		1		20		21

287		2261		133		24		130		154

287		575		274		0		13		13

288		2564		268		1		19		20

288		2594		281		0		7		7

288		576		274		0		14		14

289		2583		280		1		8		9

289		2585		280		2		7		9

289		591		281		0		8		8

289		544		260		2		27		29

289		582		280		0		9		9

290		2588		281		1		8		9

290		563		268		2		20		22

291		2222		118		0		173		173

291		2582		280		0		11		11

291		543		260		2		29		31

291		578		274		2		15		17

291		548		264		2		25		27

292		2577		274		1		17		18

292		557		266		0		26		26

293		2576		274		1		18		19

293		2272		140		0		153		153

294		2590		281		1		12		13

294		541		260		2		32		34

294		533		256		0		38		38

294		568		270		0		24		24

295		2347		161		0		134		134

295		2229		119		0		176		176

295		532		250		0		45		45

296		2269		140		0		156		156

296		569		270		2		24		26

297		2591		281		1		15		16

297		2342		160		0		137		137

297		2236		124		0		173		173

298		2354		166		0		132		132

298		2186		92		0		206		206

298		2282		146		0		152		152

298		2273		142		0		156		156

298		2371		186		0		112		112

298		2270		140		0		158		158

298		584		280		1		17		18

298		588		280		1		17		18

298		602		286		0		12		12

298		542		260		0		38		38

300		2587		280		1		19		20

300		2289		148		0		152		152

300		589		281		1		18		19

300		597		286		0		14		14

301		2241		129		0		172		172

301		2606		296		0		5		5

301		561		268		0		33		33

303		609		296		0		7		7

303		605		296		0		7		7

304		2244		129		0		175		175

304		2610		300		0		4		4

304		608		296		0		8		8

305		2293		148		0		157		157

305		604		296		0		9		9

307		603		296		0		11		11

307		551		264		0		43		43

307		546		260		0		47		47

308		2251		130		0		178		178

308		2295		151		0		157		157

308		2300		151		0		157		157

308		622		303		0		5		5

308		610		300		0		8		8

309		2621		303		0		6		6

309		2622		303		0		6		6

309		615		300		0		9		9

310		488		234		0		76		76

311		2240		129		19		163		182

311		2628		306		0		5		5

312		2387		193		0		119		119

312		630		306		0		6		6

313		2626		306		0		7		7

313		625		306		0		7		7

314		2631		309		0		5		5

314		508		243		0		71		71

315		2632		309		0		6		6

315		634		309		0		6		6

316		2619		303		0		13		13

316		2298		151		0		165		165

316		637		309		0		7		7

317		2609		300		0		17		17

317		2633		309		0		8		8

317		2312		153		0		164		164

317		636		309		0		8		8

319		2645		313		0		6		6

319		2643		311		0		8		8

319		638		311		0		8		8

319		633		309		0		10		10

320		2611		300		0		20		20

320		2635		309		0		11		11

320		2650		313		0		7		7

320		2316		154		0		166		166

320		2637		311		0		9		9

320		2630		309		0		11		11

321		2301		152		0		169		169

321		566		268		2		51		53

321		595		281		1		39		40

321		601		286		1		34		35

321		547		264		2		55		57

321		594		281		0		40		40

321		585		280		0		41		41

321		534		256		0		65		65

322		2644		313		0		9		9

322		650		313		0		9		9

323		2651		319		0		4		4

323		644		311		0		12		12

324		2627		306		0		18		18

324		626		306		0		18		18

325		2327		155		0		170		170

325		657		319		0		6		6

326		2361		179		0		147		147

326		2478		232		0		94		94

326		2660		321		0		5		5

326		629		306		0		20		20

326		659		321		0		5		5

327		2330		156		0		171		171

327		655		319		0		8		8

328		660		321		0		7		7

328		648		313		0		15		15

329		2417		204		0		125		125

330		2668		326		0		4		4

331		2638		311		0		20		20

332		2671		326		0		6		6

332		667		326		0		6		6

334		2341		160		0		174		174

334		2672		330		0		4		4

334		2677		330		0		4		4

334		2676		330		0		4		4

334		670		326		0		8		8

335		2641		311		0		24		24

335		2221		118		0		217		217

337		2647		313		1		23		24

337		668		326		0		11		11

338		2663		321		0		17		17

338		2679		334		0		4		4

339		2692		335		0		4		4

340		2662		321		0		19		19

341		2695		337		0		4		4

341		675		330		0		11		11

341		676		330		0		11		11

341		685		334		0		7		7

342		2664		321		1		20		21

342		2699		337		0		5		5

342		2351		166		0		176		176

343		2667		326		1		16		17

343		669		326		0		17		17

343		645		313		0		30		30

343		672		326		0		17		17

345		2684		334		0		11		11

345		2701		339		0		6		6

345		2700		339		0		6		6

346		689		335		0		11		11

347		2712		342		0		5		5

348		2714		343		0		5		5

348		2716		343		0		5		5

349		2704		339		0		10		10

350		2384		192		0		158		158

351		2726		347		0		4		4

353		2715		343		0		10		10

353		2734		349		0		4		4

353		2449		220		0		133		133

353		2731		349		0		4		4

354		2733		349		0		5		5

355		681		334		0		21		21

355		716		343		0		12		12

356		680		334		0		22		22

357		2290		148		0		209		209

357		718		343		0		14		14

357		505		243		0		114		114

359		2725		347		0		12		12

359		2736		353		0		6		6

360		2390		193		0		167		167

360		666		326		0		34		34

361		2746		354		0		7		7

361		2745		354		0		7		7

361		2748		354		0		7		7

361		2744		354		0		7		7

361		748		354		0		7		7

362		2721		347		0		15		15

362		2724		347		0		15		15

362		694		337		0		25		25

362		747		354		0		8		8

362		756		356		0		6		6

363		2755		356		0		7		7

363		698		337		0		26		26

364		2728		349		1		14		15

364		2747		354		1		9		10

364		2309		153		22		189		211

364		2246		130		0		234		234
