Td		ID		Tj		Df		Dd		Db
327		2458		230		0		97		97

327		2450		227		0		100		100

329		2385		200		6		123		129

329		2654		317		0		12		12

329		2645		315		1		13		14

330		656		317		0		13		13

332		2421		221		6		105		111

332		2394		201		6		125		131

332		2335		165		5		162		167

332		2516		254		0		78		78

335		2474		235		0		100		100

335		2677		322		0		13		13

335		466		231		7		97		104

336		2651		317		2		17		19

336		2671		321		1		14		15

338		2397		201		0		137		137

338		381		196		7		135		142

339		268		126		6		207		213

340		2676		322		2		16		18

340		234		98		6		236		242

341		2680		323		2		16		18

342		2356		181		5		156		161

342		2683		323		2		17		19

343		2337		170		5		168		173

343		2479		237		0		106		106

343		2359		183		0		160		160

343		2357		183		20		140		160

343		2670		321		0		22		22

344		2470		235		0		109		109

345		2710		335		0		10		10

345		2489		241		0		104		104

345		2679		323		0		22		22

345		2662		320		0		25		25

347		2455		230		7		110		117

347		2672		322		0		25		25

347		2667		321		0		26		26

347		274		129		9		209		218

348		2684		323		4		21		25

350		2401		203		7		140		147

350		2660		320		0		30		30

352		2707		335		0		17		17

352		2695		330		1		21		22

353		2535		264		0		89		89

353		2718		337		0		16		16

353		2369		184		0		169		169

354		2698		330		3		21		24

355		2700		334		0		21		21

355		2708		335		1		19		20

357		2711		335		1		21		22

357		271		126		6		225		231

358		2689		325		3		30		33

358		333		165		8		185		193

358		361		183		7		168		175

359		2716		337		9		13		22

360		2342		170		0		190		190

360		2501		244		0		116		116

360		2691		325		0		35		35

361		2701		334		3		24		27

361		2687		325		0		36		36

362		2426		221		0		141		141

362		2713		335		1		26		27

362		2726		348		1		13		14

363		2731		350		0		13		13

363		2722		348		1		14		15

364		2746		354		0		10		10

365		2739		351		0		14		14

365		2295		145		0		220		220

365		2545		267		0		98		98

365		2721		348		1		16		17

365		282		140		6		219		225

365		744		354		1		10		11

366		2484		241		9		116		125

366		2424		221		0		145		145

366		748		354		0		12		12

367		2432		222		0		145		145

367		2442		226		0		141		141

367		2733		350		0		17		17

367		2750		356		1		10		11

368		2744		354		0		14		14

368		2596		297		0		71		71

368		2715		337		2		29		31

369		2510		252		0		117		117

369		2508		252		0		117		117

370		2507		252		0		118		118

370		2764		365		0		5		5

370		2769		365		0		5		5

371		2410		214		0		157		157

371		2688		325		0		46		46

372		2353		181		0		191		191

373		2690		325		0		48		48

374		2362		183		6		185		191

374		2763		365		0		9		9

374		92		47		4		323		327

374		378		189		9		176		185

375		2456		230		7		138		145

375		2457		230		7		138		145

375		2559		281		0		94		94

375		2778		370		0		5		5

375		2774		367		0		8		8

375		2776		367		0		8		8

376		494		242		10		124		134

377		2480		237		0		140		140

378		293		144		7		227		234

381		338		170		8		203		211

382		2558		281		0		101		101

382		2363		183		0		199		199

382		789		371		0		11		11

383		2452		227		7		149		156

383		2404		203		0		180		180

384		2405		203		0		181		181

384		2330		165		18		201		219

385		2790		371		0		14		14

385		400		203		10		172		182

386		2568		286		25		75		100

387		2787		371		0		16		16

387		328		162		8		217		225

388		2576		288		0		100		100

389		2268		126		15		248		263

390		2785		371		0		19		19

391		759		359		0		32		32

392		2780		370		0		22		22

392		2807		377		0		15		15

393		2435		224		6		163		169

393		2794		373		0		20		20

393		2534		264		0		129		129

393		2818		379		0		14		14

394		2415		218		23		153		176

394		2808		377		1		16		17

394		810		377		0		17		17

395		2817		379		1		15		16

395		2793		373		0		22		22

395		2792		373		0		22		22

396		2417		218		6		172		178

396		2802		375		1		20		21

397		2483		241		9		147		156

397		2835		391		0		6		6

397		2812		379		2		16		18

397		2798		375		0		22		22

398		2826		384		0		14		14

398		2420		221		23		154		177

398		2824		383		0		15		15

399		2493		242		9		148		157

399		2449		227		7		165		172

399		2819		383		3		13		16

399		2582		293		0		106		106

399		817		379		0		20		20

400		2844		395		0		5		5

400		473		235		8		157		165

401		2472		235		8		158		166

401		2431		222		0		179		179

401		2841		395		1		5		6

401		821		383		0		18		18

404		2842		395		0		9		9

405		2460		230		0		175		175

405		2849		400		0		5		5

405		2681		323		0		82		82

406		2389		200		0		206		206

406		306		147		7		252		259

407		2347		171		6		230		236

407		2843		395		1		11		12

408		2852		400		0		8		8

408		2767		365		0		43		43

408		2384		196		0		212		212

408		2853		400		0		8		8

408		406		203		11		194		205

409		2380		196		0		213		213

410		2395		201		13		196		209

411		2465		231		8		172		180

412		2436		224		7		181		188

414		2486		241		9		164		173

415		2445		226		7		182		189

415		2854		404		0		11		11

415		2611		306		0		109		109

415		2859		404		0		11		11

415		2857		404		0		11		11

415		2872		409		0		6		6

418		2620		307		0		111		111

420		2339		170		5		245		250

421		2519		259		0		162		162

423		2634		311		0		112		112

423		2631		311		0		112		112

423		2416		218		24		181		205

423		2407		214		0		209		209

423		422		221		7		195		202

424		2533		264		9		151		160

425		2572		286		0		139		139

425		2896		415		0		10		10

425		2863		407		0		18		18

428		2495		242		0		186		186

429		2642		313		0		116		116

431		2539		267		9		155		164

431		2892		414		0		17		17

431		2487		241		0		190		190

432		2367		184		6		242		248

432		2418		218		0		214		214

433		2876		410		1		22		23

435		2597		297		9		129		138

435		2509		252		8		175		183

435		2891		414		1		20		21

436		2867		407		0		29		29

436		2869		409		0		27		27

438		2390		200		6		232		238

438		2886		413		0		25		25

438		2911		419		3		16		19

439		2931		424		1		14		15

439		2928		421		0		18		18

440		2912		419		1		20		21

440		496		242		10		188		198

441		2927		421		0		20		20

442		2900		415		0		27		27

443		2873		409		0		34		34

443		2868		409		0		34		34

444		2916		419		0		25		25

444		2437		224		0		220		220

444		2901		415		1		28		29

445		2881		410		0		35		35

445		2913		419		0		26		26

446		2378		196		6		244		250

446		2922		420		3		23		26

448		2461		230		8		210		218

448		2400		203		6		239		245

448		2880		410		3		35		38

449		2991		441		0		8		8

450		2513		254		0		196		196

451		2540		267		9		175		184

451		2598		297		0		154		154

452		2919		420		0		32		32

453		2895		414		3		36		39

454		2696		330		0		124		124

454		2904		416		0		38		38

455		2942		429		0		26		26

455		2951		431		0		24		24

456		2451		227		7		222		229

456		2974		436		6		14		20

458		2409		214		0		244		244

458		542		267		9		182		191

459		2499		244		9		206		215

460		2889		414		0		46		46

461		2515		254		8		199		207

461		2528		263		9		189		198

462		2948		431		0		31		31

463		2615		306		0		157		157

464		490		241		9		214		223

464		1024		451		0		13		13

465		3003		445		3		17		20

465		2973		436		4		25		29

466		2536		264		9		193		202

466		2960		433		0		33		33

466		391		200		8		258		266

467		2930		421		1		45		46

468		2903		416		3		49		52

468		1047		459		0		9		9

469		2894		414		0		55		55

469		2944		429		4		36		40

470		3031		452		3		15		18

472		2607		304		9		159		168

472		2714		337		0		135		135

474		2543		267		9		198		207

474		2908		416		0		58		58

475		2999		442		1		32		33

475		2953		432		1		42		43

475		279		129		9		337		346

475		281		140		6		329		335

476		3034		452		3		21		24

476		3022		451		4		21		25

476		2963		433		3		40		43

477		425		221		7		249		256

480		2453		227		7		246		253

480		2966		435		2		43		45

481		2546		280		9		192		201

481		2570		286		0		195		195

481		3005		445		2		34		36

481		3029		452		1		28		29

482		2511		254		8		220		228

482		2639		313		0		169		169

483		2643		313		0		170		170

483		2496		242		0		241		241

484		2517		254		9		221		230

484		2724		348		0		136		136

485		2935		424		0		61		61

485		1053		467		0		18		18

488		3009		446		8		34		42

488		2990		441		15		32		47

489		1098		480		0		9		9

490		2970		435		5		50		55

490		636		311		12		167		179

